date	germanFsuToGermany	jewishFsuToIsrael	jewishFsuToGermany	jewishFsuToUsa
1989	0	12.9	0.6	56
1990	0	185	8.5	6.5
1991	0	148	8	35.2
1992	195576	65	4	45.9
1993	207347	66	16.6	35.9
1994	213214	68	8.8	32.9
1995	209409	65	15.2	21.7
1996	172181	59	16	19.5
1997	131895	55	19.4	14.5
1998	101550	46	17.8	7.4
1999	103599	67	18.2	6.3
2000	94558	51	16.5	5.9
2001	97434	34	16.7	4.1
2002	90587	19	19.3	2.4
2003	72289	12.7	15.4	1.6
2004	58728	10.5	11.2	1.1
2005	35396	9.6	6	0.9
2006	7626	7.6	1.1	0.6