date	pop	mortality	fertility	germanFsuToGermany	jewishFsuToIsrael	jewishFsuToGermany	jewishFsuToUsa
1989	147342000	10.7	14.7	0	12.9	0.6	56
1990	147969000	11.2	13.4	0	185	8.5	6.5
1991	148394000	11.4	12.1	0	148	8	35.2
1992	148538000	12.2	10.7	196	65	4	45.9
1993	148538000	14.5	9.3	207	66	16.6	35.9
1994	148408000	15.7	9.5	213	68	8.8	32.9
1995	148376000	15	9.2	210	65	15.2	21.7
1996	148160000	14.2	8.9	172	59	16	19.5
1997	147915000	13.7	8.6	132	55	19.4	14.5
1998	147671000	13.6	8.8	106	46	17.8	7.4
1999	147215000	14.7	8.3	104	67	18.2	6.3
2000	146597000	15.3	8.7	95	51	16.5	5.9
2001	145976000	15.6	9.1	97	34	16.7	4.1
2002	145306496	16.2	9.7	91	19	19.3	2.5