date	pop	mortality	fertility	germanFsuToGermany	jewishFsuToIsrael	jewishFsuToGermany	jewishFsuToUsa	americanFsuToUsa
1989	147342000	10.7	14.7	98	12.9	0.6	56	11
1990	147969000	11.2	13.4	148	185	8.5	6.5	26
1991	148394000	11.4	12.1	147	148	8	35.2	57
1992	148538000	12.2	10.7	196	65	4	45.9	44
1993	148538000	14.5	9.3	207	66	16.6	35.9	59
1994	148408000	15.7	9.5	213	68	8.8	32.9	63
1995	148376000	15	9.2	210	65	15.2	21.7	54
1996	148160000	14.2	8.9	172	59	16	19.5	63
1997	147915000	13.7	8.6	132	55	19.4	14.5	49
1998	147671000	13.6	8.8	106	46	17.8	7.4	30
1999	147215000	14.7	8.3	104	67	18.2	6.3	33
2000	146597000	15.3	8.7	95	51	16.5	5.9	44
2001	145976000	15.6	9.1	97	34	16.7	4.1	55
2002	145306496	16.2	9.7	91	19	19.3	2.5	56